target,text
1,من لديه اخر معلومات عن عبير
1,هه  تراث مغربي حقيقي اصلي هه
1,ابوك يبقى ابوك .. حتى ولم لم يقدم اليك شيا
1,مهما كان ابيك فا يبقي ابيك مهما فعلت له فلا تفعل مثل ما فعل لك
1,شيا لصدمني انا هو انكم كتقترحوا عليه اساله بصفه لمراه
1,يا اخوان مكن تعملوا معي ما اسمه حقيقي واله لحد انا اخوه ما لا اعرف اسمه حقيقي
0,هه صحاب صحابه فاشله
1,مرجو حمايه هشام راه معندو حد هو ضحيه
1,حسبي له ونعم وكيل لاحول ولاقوه اباله علي عظيم تحياتي وتقديري واحترامي لاخ لاخت سميره اختك من فرنسا
1,يجب حمايه هشام وخاصك تخوي مدينه لي نتا فيها من احسن
1,يجب حمايه هدا شاب لانه يتلقى تهديدات وضغوطات  له يحفضو مسكين 🙄🤲❤️
1,حمايه هشام حمايه هشام حمايه هشام يا ربي تحميه يا ربي  هدشي لي كيطرا رضى خصو  حبس  دبيحه
1,يجب عليه ان يتعدى على مستوطنين
1,تحياتي والاحترماتي والتقديري رجال امن له يحفظكم من كل مكروه له معكم
1,اخوكم عبد صادق عيساوي يحبكم جميعا  يمنى لكم توفيق والنجاح 🤝🐉
1,سلام عليكم مادن مصطفى شفور طاكسي لي لقا مليون ردها مولها اتمنى لكم توفيق والنجاح والصحه والعافيه وطول عمر وكل عام وانتم بالف خير
1,سلام عليكم خوتي عفكوم نمرا شوف تيفي
1,سلام بغيت نمرتها لي كتعرفها تباسي لي نمرا تعاها
1,تحياتي مغربه احرار لي فيهم اسلام  روح مواطنه جزاكم له خيرا ❤️🙏
1,تحياتي من جزاار له معاك انشاله
1,له يحفظك مرضيه  جميله  يسترك  بنت جميله عبير بي توفيق ان شاا له في حياتك 💜💜👍👍👍👍👍💯💯💯
0,سميه قناتكم ماشي شوف تيفي سميتها لحضي مع تيفي
0,دعاره مغورين قحبه تفو عليكم 🇲🇦🏳️‍🌈😊
1,مصري صعيدي مر من هنا تحياتي
0,Nek ♡☆
0,وكان عليك ملي كانت معاه في ديور جبي ليه بوليس وشوهيها انتي مطلقه مطلقه
0,ابني كيكمي حشيش طلب له معايا رب يعفو عليه ارجوكم احبابي عزاز
1,هد  له  يهديه  من  جزاير
1,سلام عليكم لبس عليك عواشر مبروك
1,له اهديك خويا نوفل كندعي معاك اوعزيز علي معرفتش علاش
1,تبارك له اخلاق رفيعه لبقالي له كل احترام
1,تحياتي من مدينه فاس جميع حضور والاخ سفيان بقالي بطل ديالنا
0,Chouha tv chawahtou bina
0,Hada bayna fih rara9  kdab
1,Mskin b9a fiya khyf lyxouf mn halo
1,Kelb ghadi l7abs hhhh
1,Polis  bravo
0,Al az lpolis
0,Hada kalb fmataycha
1,👌👌👌👌👌👌
1,Allah yissahal 3lik
1,Lah ybarak aelik ou rebi yahafdak ya zina
1,Ajiiiiii Le OUROPA TDiii SoKNaaa OXaHRiYa
0,shof tv shoohha
0,Vaccine is  poison
0,Chi hawya
1,Slm ana weld lmohammedia omkrahtx nat3arf 3lik hadaf zawaj
1,Ghzalaaaaa mchalh  lay sahl alik yarbi
0,Ach had lkhra
1,😢😢😢
0,BARI T7WI
0,Huwa li makslahchi
0,👾👾👾👾
1,Kima kan lhal bak
1,Mskhot lwalidin bkhtisar bla 3atifa
1,Respect monsieur Bilal
0,Anta maskhott alwalidin
1,HTA ana bghit sofia tarja3 naoufal rah insan taib
1,La novouuuu zwin
