text,target
الله يخلف عليك سيدي محمد,1
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,0
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,1
الله يخلي لنيا العونيات ,1
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,1
مبروك للوداد والوداديين ديما راجا ,1
جميل جدا السي يونس,1
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر ,1
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش ,0
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,0
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,1
الشعب مقهور والتعليم رجع اللور,0
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,0
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر ,1
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,0
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,0
الشمايت د الحكومة,0
والله أنتم عالم تضحكون على أنفسكم,0
المخزن والتراكتور وجهان لعملة واحدة,0
الله ارحمو ووسع عليه,1
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها ,0
الله اعطيك الصحة اخويا زهير ,1
حتى هما زوينين ,1
شكرا لهلة اخطيك ,1
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير ,1
الله اسخر السي عادل,1
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,1
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا ,1
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,1
واحد الصفر اشجعهم كمغاربة ,1
أكيد غادي توصل ,1
متفقدش الأمل صديقي راه المستقبل افضل اكيد ,1
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,1
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,1
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,1
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,1
والله حتى شكرا لكم جميعا تحية لولاد الشعب ,1
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,1
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة ,1
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,1
