"index","comment_message","sentiment","comment_published"
"1","البكاء ليس سمت الرجال ..البكاء سلطة الضعفاء لكسب التعاطف ..انا لست ضد بنكيران وانما الرجل الصالح هو الذي يفعل ما يقول ولا يبكي الا عند النصر","N","2016-10-01 00:07:44"
"2","كلنا بنكيران
ولاية ثانية ان شاء الله
موتوا بحقدكم","P","2016-10-01 00:47:37"
"3","الشركات في الدول المتقدمة تساهم في بناء أوطانها بدفع الضرائب وفي بلدنا العزيز الشركات تطلب من الدولة أن تخدم عليها؟","N","2016-10-01 00:48:02"
"4","من ينتقد بن كران هم خصوم معارضة لى خاصها هي سلطة لا تهتم لوضعية مواطن","N","2016-10-01 00:49:10"
"5","هدو صحاب بام توجدو راسهوم بغين اعفاءات ضريبية لهوم هما ويزيدها على فقراء و يزدو ليه فلعشا 
مشى بطروناج شدها حزب البام مشيتو فيها المغاربة","N","2016-10-01 00:59:47"
"6","في نظرك الحكومات السابقة كانت احسن اتقوا الله وانظروا إلى المحاسن لا الى المساولا نسيتوا ما مضى مع الاستقلالاين و الاشتراكيين","P","2016-10-01 01:23:34"
"7","رئيس الحكومة يمر بتجربة صعبة للغاية فرغم كل التحديات والصعوبات والمواجهات مع التماسيح والعفاريت فشعبيته في تزايد فالحق يعلى ولا يعلى عليه.","P","2016-10-01 01:29:00"
"8","Zakaria Sam هل مستوى االعيش في بلادنا مثل فرنسا يونان اسبانيا لنقوم بسياسة تقشفهم؟؟ادلتكم زاءفة كالعادة  ا","N","2016-10-01 01:51:05"
"9","احسن حكومة في المغرب ساصوت على العدالة والتنمية اناس شرفاء لم يسرقوا بلدنا النصر حليفهم ان شاء الله","P","2016-10-01 02:04:00"
"10","المنافقين هما البام لي مزال معرفتهم أش كيسواو ينجحوا وعاد تعرفهم على حقيقتهم","N","2016-10-01 02:07:13"
"11","أنا أقول العكس البيجيدي اولا والبام ثانيا والفيديرالية ستخلق المفاجئة بفريق قوي في المعارضة","P","2016-10-01 02:09:31"
"12","ما يبكي بن كيران ليس نفعه في الحكومة وانما يبكيه من سياخد الحكومة من بعد كل الحزاب غير الشفارة","P","2016-10-01 02:15:02"
"13","الا بغيتي تجلس مع صاحبتك في القهوة وتلبس رايبن دير انت البام اولا وأخيرا كاع ، شكون حبسك ؟ انت و ضميرك !؟","P","2016-10-01 02:15:22"
"14","البيجيدي اولا متبوعا بالتقدم والاشتراكية ثم االاستقلال ورابعا البام هههه","P","2016-10-01 02:16:08"
"15","للعدالة والتنمية و الاغلبية ساحقة باذن الله البام يمثل المستعمر .وليس حزب وطني ههههههه.الله يرحم الحسن الثاني","P","2016-10-01 02:19:19"
